Ngày giao,Mã giao dịch,Mã thuê bao,Dịch vụ,Người thực hiện,MW001114157,Ngày hoàn công,Nội dung vướng mắc,,,,,
01/07/2026 08:45,VNP-LD/00073326,fbr00efe6,Fiber,Vũ Thế Ninh,Đã hoàn công,03/07/2026 09:29,LH với đơn vị để thực hiện kt  0912867766 + 0946561919 hạ tầng kh chưa xong - trả phiếu ,,,,,
01/07/2026 08:45,VNP-LD/00073326,fbr00efcc,Fiber,Vũ Thế Ninh,Đã hoàn công,03/07/2026 09:29,LH với đơn vị để thực hiện kt  0912867766 + 0946561919 hạ tầng kh chưa xong - trả phiếu ,,,,,
01/07/2026 08:45,VNP-LD/00073326,fbr00efdb,Fiber,Vũ Thế Ninh,Đã hoàn công,03/07/2026 09:29,LH với đơn vị để thực hiện kt  0912867766 + 0946561919 hạ tầng kh chưa xong - trả phiếu ,,,,,
01/07/2026 08:45,VNP-LD/00073326,fbr00efdh,Fiber,Vũ Thế Ninh,Đã hoàn công,03/07/2026 09:29,LH với đơn vị để thực hiện kt  0912867766 + 0946561919 hạ tầng kh chưa xong - trả phiếu ,,,,,
01/07/2026 09:03,VNP-LD/00074882,wcm2cgz,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 08:48,LH với đơn vị để thực hiện,,,,,
01/07/2026 09:04,BNH-LD/00927418,dia000ra4,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,06/07/2026 08:26,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 09:04,BNH-LD/00927418,dia000ra8,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,03/07/2026 10:09,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 09:04,BNH-LD/00927418,dia000ra3,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,02/07/2026 16:26,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 09:04,BNH-LD/00927418,dia000ra5,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,02/07/2026 16:26,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 09:05,VNP-LD/00074931,mnk0012hf,Metronet LT,Đào Anh Vũ,Đã hoàn công,02/07/2026 16:27,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 09:07,V06/LD/260701/02858,mnk0012hi,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,07/07/2026 14:07,Khách hàng_0963.174.322 phải thuê cáp nội bộ trong FPT,Đã mail cảnh báo lần 2 - 06/07/2026 09:14,,,,
01/07/2026 09:44,VNP-TL/00066724,003058221MEN,Metronet LT,Đoàn Hải Hà,Đã hoàn công,01/07/2026 14:02,"Phiếu thoái trả, SOC báo không có mã kênh này",,,,,
01/07/2026 09:44,VNP-LD/00074936,mnk0012i2,Metronet NT,Đoàn Hải Hà,Đang xử lý,,Công An Tỉnh PTO chưa có thiết bị dể nhận kênh,Đã mail cảnh báo lần 3 - 08/07/2026 10:14,,,,
01/07/2026 09:46,V06/TL/260701/00029,dia000gr9,Internet trực tiếp,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:47,"SOC/VTT thực hiện, VTT HBH xác minh thanh lý",,,,,
01/07/2026 09:59,V06/TL/260701/00032,dia000gsc,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,06/07/2026 08:27,"Chuyển SOC/VTT thực hiện, SOC đã thanh lý",,,,,
01/07/2026 10:00,VNP-LD/00074942,mnk0012ic,Metronet LT,Đoàn Hải Hà,Đã hoàn công,03/07/2026 08:17,"SOC/VTT triển khai 
Khách hàng: chưa xong cơ sở hạ tầng",,,,,
01/07/2026 10:01,HGG-DV/00174846,DI001042112,Internet trực tiếp,Nguyễn Duy Thành,Đã hoàn công,01/07/2026 16:36,,,,,,
01/07/2026 10:02,HGG-DV/00174847,DI001042108,Internet trực tiếp,Nguyễn Duy Thành,Đã hoàn công,01/07/2026 16:36,,,,,,
01/07/2026 10:03,VNP-TL/00066735,mwk0008ii,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 16:40,Đã chuyển VTT,,,,,
01/07/2026 10:03,VNP-TL/00066736,MW000010325,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 16:39,Đã chuyển VTT,,,,,
01/07/2026 10:04,VNP-TL/00066733,mwk00096p,Megawan NT,Vũ Thế Ninh,Đã hoàn công,03/07/2026 11:22,Đã báo đơn vị thi công,,,,,
01/07/2026 10:08,VNP-TL/00066726,mwk000949,Megawan NT,Đào Anh Vũ,Đã hoàn công,02/07/2026 16:27,Chuyển VTT thực hiện,,,,,
01/07/2026 10:08,VNP-TL/00066729,mwk00093z,Megawan NT,Đào Anh Vũ,Đã hoàn công,02/07/2026 16:27,Chuyển VTT thực hiện,,,,,
01/07/2026 10:08,VNP-TL/00066730,mwk00093p,Megawan NT,Đào Anh Vũ,Đã hoàn công,02/07/2026 11:05,Chuyển VTT thực hiện,,,,,
01/07/2026 10:08,VNP-TL/00066734,mwk00093f,Megawan NT,Đào Anh Vũ,Đã hoàn công,02/07/2026 16:27,Chuyển VTT thực hiện,,,,,
01/07/2026 10:10,VNP-TL/00066727,mwk000965,Megawan NT,Vũ Thế Ninh,Đã hoàn công,03/07/2026 11:22,Đã báo đơn vị thi công,,,,,
01/07/2026 10:11,VNP-TL/00066725,MW000037632,Megawan NT,Nguyễn Duy Thành,Đã hoàn công,01/07/2026 10:50,,,,,,
01/07/2026 10:11,VNP-TL/00066728,mwk0008is,Megawan NT,Nguyễn Duy Thành,Đã hoàn công,01/07/2026 10:50,,,,,,
01/07/2026 10:11,VNP-TL/00066731,mwk0008i8,Megawan NT,Nguyễn Duy Thành,Đã hoàn công,01/07/2026 10:50,,,,,,
01/07/2026 10:11,VNP-TL/00066732,MW000010330,Megawan NT,Nguyễn Duy Thành,Đã hoàn công,01/07/2026 10:50,,,,,,
01/07/2026 10:38,VNP-LD/00074938,vcm2ckq,Fiber,Đăng Văn Minh,Đã hoàn công,06/07/2026 08:17,Đã chuyển yêu cầu đến VTT,,,,,
01/07/2026 10:38,VNP-LD/00074938,vcm2ckp,Fiber,Đăng Văn Minh,Đã hoàn công,06/07/2026 08:17,Đã chuyển yêu cầu đến VTT,,,,,
01/07/2026 10:51,51388,,Fiber,Đăng Văn Minh,Đã hoàn công,03/07/2026 08:21,Đã chuyển yêu cầu đến VTT,,,,,
01/07/2026 10:53,51391,,Internet trực tiếp,Vũ Thế Ninh,Đã hoàn công,01/07/2026 14:47,,,,,,
01/07/2026 10:55,V06/LD/260701/04638,mnk0012jo,Metronet LT,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:47,"Báo SOC/VTT triển khai, Khách hàng hẹn ngày 03/07 nhận bàn giao",,,,,
01/07/2026 10:55,VNP-TL/00066762,mwk0008jb,Megawan NT,Đoàn Hải Hà,Đã hoàn công,01/07/2026 14:31,,,,,,
01/07/2026 10:55,VNP-TL/00066767,MW001190452,Megawan LT,Đoàn Hải Hà,Đã hoàn công,01/07/2026 14:21,Báo VTT HBH triển khai,,,,,
01/07/2026 10:58,VNP-LD/00074947,mnk0012jn,Metronet LT,Đào Anh Vũ,Đã hoàn công,14/07/2026 10:05,"Chuyển SOC/VTT thực hiện , Chờ đầu xa thi công",Đã mail cảnh báo lần 3 - 08/07/2026 11:14,,,,
01/07/2026 13:43,VNP-DC/00015824,manulife-vpbacninh-bnh,Fiber,Đăng Văn Minh,Đã hoàn công,01/07/2026 16:07,Đã chuyển yêu cầu đến VTT,,,,,
01/07/2026 13:44,VNP-LD/00074951,fbr00h356,Fiber,Đăng Văn Minh,Đã hoàn công,02/07/2026 10:12,Đã chuyển yêu cầu đến VTT,,,,,
01/07/2026 13:45,VNP-LD/00074953,fbr00h3kb,Fiber,Đăng Văn Minh,Đã hoàn công,09/07/2026 10:06,"Khách hàng_Khách hàng chưa xong hạ tầng_KTV đến khảo sát, địa chỉ đang phá dỡ nhà chưa sửa chưa, khách báo khi nào xong sẽ liên hệ KTV để triển khai",Đã mail cảnh báo lần 3 - 08/07/2026 14:14,,,,
01/07/2026 13:47,VNP-TL/00066698,MN001063920,Metronet LT,Lê Đức Vinh,Đã hoàn công,01/07/2026 16:59,Đã chuyển VTT,,,,,
01/07/2026 13:47,VNP-TL/00066699,MN001047244,Metronet LT,Lê Đức Vinh,Đã hoàn công,02/07/2026 09:06,Đã chuyển VTT,,,,,
01/07/2026 13:47,VNP-TL/00066700,MN001063930,Metronet LT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:00,Đã chuyển VTT,,,,,
01/07/2026 13:47,VNP-TL/00066701,MN001047294,Metronet LT,Lê Đức Vinh,Đã hoàn công,02/07/2026 09:04,Đã chuyển VTT,,,,,
01/07/2026 13:48,VNP-LD/00074948,mnk0012kc,Metronet NT,Đoàn Hải Hà,Đã hoàn công,03/07/2026 08:36,"Triển khai theo dự án TSLCD phục vụ Văn bản Mật cho Nhà nước theo VB 9032/VNPT-CN cho UBND, HDND, MTTQ
Báo VTT VPC triển khai",,,,,
01/07/2026 13:48,VNP-LD/00074886,mnk0012bc,Metronet NT,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:45,"Triển khai theo dự án TSLCD phục vụ Văn bản Mật cho Nhà nước theo VB 9032/VNPT-CN cho UBND, HDND, MTTQ
Báo VTT VPC triển khai",,,,,
01/07/2026 13:48,VNP-LD/00074886,mnk0012k3,Metronet NT,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:45,"Triển khai theo dự án TSLCD phục vụ Văn bản Mật cho Nhà nước theo VB 9032/VNPT-CN cho UBND, HDND, MTTQ
Báo VTT VPC triển khai",,,,,
01/07/2026 13:48,VNP-LD/00074886,mnk0012k2,Metronet NT,Đoàn Hải Hà,Đã hoàn công,02/07/2026 08:29,"Triển khai theo dự án TSLCD phục vụ Văn bản Mật cho Nhà nước theo VB 9032/VNPT-CN cho UBND, HDND, MTTQ
Báo VTT VPC triển khai",,,,,
01/07/2026 13:48,VNP-LD/00074886,mnk0012b9,Metronet NT,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:45,"Triển khai theo dự án TSLCD phục vụ Văn bản Mật cho Nhà nước theo VB 9032/VNPT-CN cho UBND, HDND, MTTQ
Báo VTT VPC triển khai",,,,,
01/07/2026 13:48,VNP-LD/00074886,mnk0012bb,Metronet NT,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:46,"Triển khai theo dự án TSLCD phục vụ Văn bản Mật cho Nhà nước theo VB 9032/VNPT-CN cho UBND, HDND, MTTQ
Báo VTT VPC triển khai",,,,,
01/07/2026 13:50,BKN-TD/00081298,MN001343617,Metronet NT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:59,Đã báo đơn vị thi công,,,,,
01/07/2026 13:50,VNP-TD/00096278,mnk0010c4,Metronet LT,Đào Anh Vũ,Đã hoàn công,14/07/2026 10:06,"Chuyển SOC/VTT thực hiện , SOC đã  thực hiện, VTT báo phiếu đi lỗi đang kiểm tra",Đã mail cảnh báo lần 3 - 08/07/2026 14:14,,,,
01/07/2026 13:53,VNP-TL/00066750,MW000010336,Megawan LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 09:46,,,,,,
01/07/2026 13:54,VNP-TL/00066751,MW000010669,Megawan LT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:00,Đã chuyển VTT,,,,,
01/07/2026 13:54,VNP-TL/00066752,mwk0007rj,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:00,Đã chuyển VTT,,,,,
01/07/2026 13:55,VNP-TL/00066747,mwk0007qz,Megawan NT,Vũ Thế Ninh,Đã hoàn công,07/07/2026 16:16,Đã báo đơn vị thi công,Đã mail cảnh báo lần 2 - 06/07/2026 14:14,,,,
01/07/2026 13:55,VNP-TL/00066753,mwk0007qp,Megawan LT,Vũ Thế Ninh,Đã hoàn công,07/07/2026 16:16,Đã báo đơn vị thi công,Đã mail cảnh báo lần 2 - 06/07/2026 14:14,,,,
01/07/2026 13:56,VNP-TL/00066756,mwk0007ul,Megawan NT,Đào Anh Vũ,Đã hoàn công,02/07/2026 11:05,Chuyển VTT thực hiện,,,,,
01/07/2026 13:57,VNP-TL/00066768,DI000401269,Internet trực tiếp,Vũ Thế Ninh,Đã hoàn công,02/07/2026 14:10,Đã báo đơn vị thi công,,,,,
01/07/2026 14:24,HCM-TL/02769170,hcmtsl-1050-022814,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 07:42,,,,,,
01/07/2026 14:54,VNP-LD/00074961,mnk0012kq,Metronet NT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 12:11,,,,,,
01/07/2026 15:03,QNH-LD/00410512,dia000rc7,Internet trực tiếp,Nguyễn Duy Thành,Đã hoàn công,06/07/2026 07:39,Khách hàng_chưa xong cơ sở hạ tầng,,,,,
01/07/2026 16:01,VNP-LD/00074970,qtk0007b3,Kênh Thuê Riêng,Đoàn Hải Hà,Đã hoàn công,14/07/2026 10:48,SOC1 không đồngý hoàn công kênh quang trắng liên tỉnh,Đã mail cảnh báo lần 3 - 08/07/2026 16:14,,,,
01/07/2026 16:01,VNP-LD/00074970,qtk0007b3,Kênh Thuê Riêng,Đoàn Hải Hà,Đã hoàn công,14/07/2026 10:48,SOC1 không đồngý hoàn công kênh quang trắng liên tỉnh,Đã mail cảnh báo lần 3 - 08/07/2026 16:14,,,,
01/07/2026 16:12,VNP-TL/00066739,mwk000953,Megawan NT,Vũ Thế Ninh,Đã hoàn công,03/07/2026 11:23,Đã báo đơn vị thi công,,,,,
01/07/2026 16:14,VNP-TL/00066724,003058221MEN,Metronet LT,Đoàn Hải Hà,Đã hoàn công,02/07/2026 09:22,,,,,,
01/07/2026 16:15,HCM-TL/02769250,hcmtsl-1050-022797,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 13:40,,,,,,
01/07/2026 16:16,V06/TD/260701/25458,005237132MEN,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 07:42,,,,,,
01/07/2026 16:16,V06/TD/260701/25458,005243722MEN,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 07:42,,,,,,
01/07/2026 16:17,VNP-LD/00074972,dia000rd4,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,03/07/2026 10:19,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 16:19,HCM-TL/02769255,hcmtsl-1050-022818,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 13:40,,,,,,
01/07/2026 16:19,VNP-TL/00066737,MW000010681,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:01,,,,,,
01/07/2026 16:19,VNP-TL/00066738,MW000010341,Megawan NT,Lê Đức Vinh,Đã hoàn công,02/07/2026 14:40,,,,,,
01/07/2026 16:19,VNP-TL/00066740,MW000010323,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:01,,,,,,
01/07/2026 16:19,VNP-TL/00066742,mwk0008da,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:01,,,,,,
01/07/2026 16:19,VNP-TL/00066744,mwk000ayi,Megawan NT,Lê Đức Vinh,Đã hoàn công,01/07/2026 17:01,,,,,,
01/07/2026 16:22,VNP-DC/00015831,MW000007693,Megawan NT,Đào Anh Vũ,Đã hoàn công,03/07/2026 10:19,Chuyển VTT thực hiện,,,,,
01/07/2026 16:27,HCM-TL/02769259,hcmtsl-1050-022855,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 13:40,,,,,,
01/07/2026 16:28,VNP-TL/00066798,MW001051909,Megawan LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:42,Đã báo đơn vị thi công,,,,,
01/07/2026 16:29,HCM-TL/02769265,hcmtsl-1050-022858,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 13:40,,,,,,
01/07/2026 16:29,VNP-LD/00074505,fbr00gast,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 08:48,LH với đơn vị để thực hiện,,,,,
01/07/2026 16:33,VNP-TL/00066800,MN001311212,Metronet NT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:42,Đã báo đơn vị thi công,,,,,
01/07/2026 16:38,TBH-DC/00015623,tbhmgw-01-000863,Megawan LT,Vũ Thế Ninh,Đã hoàn công,14/07/2026 08:42,VNPT trả phiêu vì KH báo 2 tuần nữa mới chuyển,Đã mail cảnh báo lần 3 - 08/07/2026 17:14,,,,
01/07/2026 16:40,VNP-TL/00066801,MW001050196,Megawan LT,Vũ Thế Ninh,Đã hoàn công,03/07/2026 11:24,Đã báo đơn vị thi công,,,,,
01/07/2026 16:44,VNP-TL/00066802,MN001311663,Metronet NT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:41,Đã báo đơn vị thi công,,,,,
01/07/2026 16:45,VNP-TL/00066803,MW001050202,Megawan LT,Lê Đức Vinh,Đã hoàn công,02/07/2026 14:38,Đã chuyển VTT,,,,,
02/07/2026 08:15,VNP-TL/00066838,vcm5813,Fiber,Đăng Văn Minh,Đã hoàn công,02/07/2026 10:13,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:15,VNP-TL/00066839,vcm5803,Fiber,Đăng Văn Minh,Đã hoàn công,02/07/2026 10:13,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:15,VNP-TL/00066808,dhl-vinhome,Fiber,Đăng Văn Minh,Đã hoàn công,02/07/2026 10:12,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:15,51394,,Fiber,Đăng Văn Minh,Đã hoàn công,03/07/2026 09:01,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:17,VNP-TL/00066819,rv1889286td,Fiber,Đăng Văn Minh,Đã hoàn công,07/07/2026 15:01,Đã chuyển yêu cầu đến VTT,Đã mail cảnh báo lần 2 - 07/07/2026 09:14,,,,
02/07/2026 08:17,VNP-TL/00066815,rvc-acb.cnbnh,Fiber,Đăng Văn Minh,Đã hoàn công,06/07/2026 09:25,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:17,VNP-TL/00066818,rvc-vietlong,Fiber,Đăng Văn Minh,Đã hoàn công,06/07/2026 08:18,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:19,VNP-TL/00066836,nhamay.vpc,Fiber,Đăng Văn Minh,Đã hoàn công,02/07/2026 10:42,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 08:19,VNP-TL/00066841,vcm5700,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 15:27,LH với đơn vị để thực hiện kt 0912843348 + 0915153357,,,,,
02/07/2026 08:19,VNP-TL/00066840,vcm5742,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 15:28,LH với đơn vị để thực hiện kt 0913619689 + 0912825825,,,,,
02/07/2026 08:19,VNP-TL/00066837,nan_vincom16,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 09:09,LH với đơn vị để thực hiện,,,,,
02/07/2026 08:19,VNP-TL/00066820,rongvietnq,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 15:28,LH với đơn vị để thực hiện kt 0912510406 + 0913658595,,,,,
02/07/2026 08:19,VNP-TL/00066812,fthhl-rvc1,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 15:28,LH với đơn vị để thực hiện kt  0946530888 + 0912458758,,,,,
02/07/2026 08:19,VNP-TL/00066807,rvchatinh-ftth,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 09:52,LH với đơn vị để thực hiện,,,,,
02/07/2026 08:19,VNP-LD/00074974,tspth0320,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 09:52, thoái trả KH không lắp nữa,,,,,
02/07/2026 08:23,VNP-TL/00066833,HTN1820,Metronet NT,Lê Đức Vinh,Đã hoàn công,03/07/2026 12:29,Đã chuyển VTT,,,,,
02/07/2026 08:23,VNP-TL/00066827,HTN2013,Metronet NT,Lê Đức Vinh,Đã hoàn công,02/07/2026 14:39,Đã chuyển VTT,,,,,
02/07/2026 08:23,VNP-TL/00066824,HTN2016,Metronet NT,Lê Đức Vinh,Đã hoàn công,02/07/2026 14:39,Đã chuyển VTT,,,,,
02/07/2026 08:23,VNP-TL/00066816,MN001311617,Metronet NT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:40,,,,,,
02/07/2026 08:23,VNP-TL/00066804,MN001255299,Metronet NT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:40,,,,,,
02/07/2026 08:25,VNP-LD/00074977,mnk0012md,Metronet LT,Đào Anh Vũ,Đã hoàn công,14/07/2026 10:06,"Chuyển SOC/VTT thực hiện , Chờ đầu xa thi công",Đã mail cảnh báo lần 3 - 09/07/2026 09:14,,,,
02/07/2026 08:25,VNP-TD/00096295,mnk0007ji,Metronet LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 11:18,,,,,,
02/07/2026 08:26,51399,,Megawan LT,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 10:28,,,,,,
02/07/2026 08:27,51402,,Megawan LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 11:17,Đã báo đơn vị thi công,,,,,
02/07/2026 08:30,VNP-LD/00074981,fbr00h5sa,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 15:28,LH với đơn vị để thực hiện - đã báo Quang NAN -0947166332 - 0886337777,,,,,
02/07/2026 08:30,VNP-LD/00074980,fbr00h5qt,Fiber,Ngô Thị Minh Phương,Đã hoàn công,06/07/2026 10:46,kt báo thoái trả 0947166332 - 0886337777 hạ tầng kh chưa xong,Đã mail cảnh báo lần 1 - 06/07/2026 10:14,,,,
02/07/2026 09:07,VNP-LD/00074983,fbr00h61l,Fiber,Đăng Văn Minh,Đã hoàn công,14/07/2026 08:20,"Khách hàng_Khách hàng chưa xong hạ tầng_cửa hàng chưa sửa xong, dự kiến 2-3 ngày nữa mới triển khai được",Đã mail cảnh báo lần 3 - 09/07/2026 09:14,,,,
02/07/2026 09:09,LB6/LD/260701/13463,dia000re2,Internet trực tiếp,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:28,Khách hàng: hẹn ngày nhận kênh,,,,,
02/07/2026 09:34,VNP-LD/00074985,fbr00h66f,Fiber,Đăng Văn Minh,Đã hoàn công,03/07/2026 08:13,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 09:34,VNP-LD/00074984,fbr00h63l,Fiber,Đăng Văn Minh,Đã hoàn công,03/07/2026 08:14,Đã chuyển yêu cầu đến VTT,,,,,
02/07/2026 09:35,V06/LD/260702/03032,mwk000rfh,Megawan LT,Đào Anh Vũ,Đã hoàn công,06/07/2026 11:04,Chuyển SOC/VTT thực hiện,Đã mail cảnh báo lần 1 - 06/07/2026 10:14,,,,
02/07/2026 10:04,VNP-KP/00001026,MN001063920,Metronet LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:52,SOC 1 trả vì kênh thanh lý không khôi phục,,,,,
02/07/2026 10:04,VNP-KP/00001027,MN001047244,Metronet LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:52,SOC 1 trả vì kênh thanh lý không khôi phục,,,,,
02/07/2026 10:04,VNP-KP/00001026,MN001063920,Metronet LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:52,SOC 1 trả vì kênh thanh lý không khôi phục,,,,,
02/07/2026 10:12,VNP-LD/00074993,mnk0012mp,Metronet NT,Lê Đức Vinh,Đã hoàn công,06/07/2026 16:20,Đã chuyển VTT,Đã mail cảnh báo lần 1 - 06/07/2026 10:14,,,,
02/07/2026 10:13,VNP-LD/00074995,fbr00h6il,Fiber,Ngô Thị Minh Phương,Đã hoàn công,03/07/2026 09:37,LH với đơn vị để thực hiện,,,,,
02/07/2026 10:15,51406,,Fiber,Đăng Văn Minh,Đã hoàn công,06/07/2026 15:05,Đã chuyển yêu cầu đến VTT,Đã mail cảnh báo lần 1 - 06/07/2026 11:14,,,,
02/07/2026 10:33,VNP-LD/00074998,mnk0012mz,Metronet NT,Lê Đức Vinh,Đã hoàn công,06/07/2026 08:52,Đã chuyển VTT,,,,,
02/07/2026 10:55,VNP-LD/00075001,dia000rgv,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,06/07/2026 11:04,Chuyển SOC/VTT thực hiện,,,,,
02/07/2026 10:55,VNP-TL/00066120,tc31010,Megawan LT,Đào Anh Vũ,Đã hoàn công,09/07/2026 07:51,VTT báo sai loại hình thuê bao,Đã mail cảnh báo lần 2 - 07/07/2026 11:14,,,,
02/07/2026 11:09,VNP-LD/00074673,fbr00glms,Fiber,Ngô Thị Minh Phương,Đã hoàn công,02/07/2026 15:29,LH với đơn vị để thực hiện,,,,,
02/07/2026 14:02,VNP-LD/00074404,fbr00g4fg,Fiber,Đoàn Hải Hà,Đã hoàn công,02/07/2026 15:18,,,,,,
02/07/2026 14:39,VNP-LD/00075009,tspth10244,Fiber,Đoàn Hải Hà,Đã hoàn công,06/07/2026 09:28,VTT thực hiện,,,,,
